,internal_name,date_mjd,filter,filter_eff,filter_eff_unit,flux,flux_err,flux_unit,upperlimit
0,SDSS_J0748,55390.79685637,W1,3.4,um,13.505,0.025,mag(AB),False
1,SDSS_J0807,55401.001991,W1,3.4,um,11.646,0.023,mag(AB),False
2,SDSS_J0938,55419.36161807,W1,3.4,um,11.982,0.023,mag(AB),False
3,SDSS_J0952,55405.20470764,W1,3.4,um,13.666,0.026,mag(AB),False
4,SDSS_J1055,55405.6952653,W1,3.4,um,13.681,0.024,mag(AB),False
5,SDSS_J1207,55441.16297548,W1,3.4,um,11.836,0.023,mag(AB),False
6,SDSS_J1241,55427.22730529,W1,3.4,um,13.854,0.028,mag(AB),False
7,SDSS_J1247,55463.1032573,W1,3.4,um,13.167,0.023,mag(AB),False
8,SDSS_J1342,55419.29086102,W1,3.4,um,13.428,0.025,mag(AB),False
9,SDSS_J1350,55416.19397737,W1,3.4,um,13.925,0.025,mag(AB),False
10,SDSS_J1402,55426.53638593,W1,3.4,um,13.224,0.025,mag(AB),False
11,SDSS_J1459,55416.83856903,W1,3.4,um,13.298,0.024,mag(AB),False
12,SDSS_J1715,55362.7175,W1,3.4,um,13.224,0.115,mag(AB),False
13,SDSS_J2220,55417.55302895,W1,3.4,um,12.665,0.03,mag(AB),False
0,SDSS_J0748,55390.79685637,W2,4.6,um,12.728,0.026,mag(AB),False
1,SDSS_J0807,55401.001991,W2,4.6,um,10.773,0.02,mag(AB),False
2,SDSS_J0938,55419.36161807,W2,4.6,um,10.934,0.021,mag(AB),False
3,SDSS_J0952,55405.20470764,W2,4.6,um,12.638,0.026,mag(AB),False
4,SDSS_J1055,55405.6952653,W2,4.6,um,12.767,0.025,mag(AB),False
5,SDSS_J1207,55441.16297548,W2,4.6,um,10.939,0.021,mag(AB),False
6,SDSS_J1241,55427.22730529,W2,4.6,um,13.248,0.029,mag(AB),False
7,SDSS_J1247,55463.1032573,W2,4.6,um,12.193,0.024,mag(AB),False
8,SDSS_J1342,55419.29086102,W2,4.6,um,12.354,0.024,mag(AB),False
9,SDSS_J1350,55416.19397737,W2,4.6,um,13.062,0.024,mag(AB),False
10,SDSS_J1402,55426.53638593,W2,4.6,um,12.287,0.024,mag(AB),False
11,SDSS_J1459,55416.83856903,W2,4.6,um,12.389,0.022,mag(AB),False
12,SDSS_J1715,55362.7175,W2,4.6,um,12.358,0.023,mag(AB),False
13,SDSS_J2220,55417.55302895,W2,4.6,um,11.757,0.026,mag(AB),False
0,SDSS_J0748,55291.2244244,W3,12.0,um,9.876,0.051,mag(AB),False
1,SDSS_J0807,55301.45803583,W3,12.0,um,8.246,0.022,mag(AB),False
2,SDSS_J0938,55323.95176677,W3,12.0,um,7.654,0.018,mag(AB),False
3,SDSS_J0952,55324.442444,W3,12.0,um,9.098,0.033,mag(AB),False
4,SDSS_J1055,55320.07197411,W3,12.0,um,9.2,0.03,mag(AB),False
5,SDSS_J1207,55354.34191846,W3,12.0,um,8.107,0.021,mag(AB),False
6,SDSS_J1241,55350.17245484,W3,12.0,um,9.614,0.038,mag(AB),False
7,SDSS_J1247,55372.60178099,W3,12.0,um,9.331,0.037,mag(AB),False
8,SDSS_J1342,55314.19996562,W3,12.0,um,8.501,0.023,mag(AB),False
9,SDSS_J1350,55331.92075883,W3,12.0,um,9.958,0.044,mag(AB),False
10,SDSS_J1402,55334.43180832,W3,12.0,um,9.618,0.038,mag(AB),False
11,SDSS_J1459,55316.010744,W3,12.0,um,9.241,0.027,mag(AB),False
12,SDSS_J1715,55242.66668289,W3,12.0,um,9.533,0.031,mag(AB),False
13,SDSS_J2220,55341.26206378,W3,12.0,um,9.064,0.036,mag(AB),False
0,SDSS_J0748,55291.2244244,W4,22.0,um,12.2775,0.0,mag(AB),True
1,SDSS_J0807,55301.45803583,W4,22.0,um,6.196,0.056,mag(AB),False
2,SDSS_J0938,55323.95176677,W4,22.0,um,5.409,0.035,mag(AB),False
3,SDSS_J0952,55324.442444,W4,22.0,um,6.934,0.083,mag(AB),False
4,SDSS_J1055,55320.07197411,W4,22.0,um,6.827,0.067,mag(AB),False
5,SDSS_J1207,55354.34191846,W4,22.0,um,5.927,0.049,mag(AB),False
6,SDSS_J1241,55350.17245484,W4,22.0,um,7.209,0.102,mag(AB),False
7,SDSS_J1247,55372.60178099,W4,22.0,um,7.101,0.109,mag(AB),False
8,SDSS_J1342,55314.19996562,W4,22.0,um,6.186,0.049,mag(AB),False
9,SDSS_J1350,55331.92075883,W4,22.0,um,8.185,0.217,mag(AB),False
10,SDSS_J1402,55334.43180832,W4,22.0,um,7.44,0.105,mag(AB),False
11,SDSS_J1459,55319.37197818,W4,22.0,um,6.903,0.061,mag(AB),False
12,SDSS_J1715,55242.66668289,W4,22.0,um,7.28,0.089,mag(AB),False
13,SDSS_J2220,55341.26206378,W4,22.0,um,6.885,0.125,mag(AB),False
