,day,filter_eff,_stokes,_ra,_dec,_ra_err,_dec_err,flux,flux_err,rms,date_format,date
0,2025-09-26 22:52:04.500000,3.498821866918713, I,-2.9602040945463832,0.0538688771019679,0.7756982824869093,0.0250258483585993,0.5536400832258119,0.0294827960666171,0.0243391859560255,mjd,60944.95282986111
1,2025-09-26 22:52:04.500000,3.498821866918713, I,-2.9602040945463832,0.0538688771019679,0.7756982824869093,0.0250258483585993,0.5536400832258119,0.0294827960666171,0.0243391859560255,mjd,60944.95282986111
2,2025-09-26 22:52:04.500000,2.498872779679023, I,-2.960203063497565,0.0709696340097891,0.775697601519531,0.0344558822610072,0.8163674707016616,0.0438741832582694,0.0510354577533962,mjd,60944.95282986111
3,2025-09-26 22:51:04.500000,1.5194226628035112, I,-2.960206276772816,0.2108033940898093,0.7756981883522538,0.0944591913230776,1.4517713171728075,0.1341574173892226,0.0778629430919242,mjd,60944.952135416665
4,2025-09-26 22:50:04.500000,4.998745457682787, I,-2.960204418493714,0.0365074933982482,0.7756982209030077,0.0184761602385996,0.3744694247242969,0.0200967619085432,0.0233652290452251,mjd,60944.951440972225
5,2025-09-26 22:49:04.499999,8.998541700637467, I,-2.9602048023414924,0.0436434288246899,0.7756981224388538,0.0225210498431407,0.1935421394001229,0.0229861103058457,0.021090564937863,mjd,60944.950746527764
6,2025-09-26 22:49:04.499999,9.998490781621465, I,-2.9602049355591187,0.0272763221385011,0.7756980680902585,0.0147991337267587,0.1906981159054854,0.0159475924091789,0.0174210695418372,mjd,60944.950746527764
7,2025-09-26 22:50:04.500000,6.998643614116366, I,-2.9602045629838853,0.0412443608489082,0.7756980475235477,0.0211261852703738,0.2289730287000068,0.0194181918625257,0.0196464109073663,mjd,60944.951440972225
8,2025-09-26 22:49:04.499999,10.99843984275906, I,-2.9602048122661246,0.0525029043906986,0.775698122596834,0.0280515408498006,0.1296079105450491,0.0226144783681142,0.0242459571560879,mjd,60944.950746527764
9,2025-09-26 22:50:04.500000,5.998694551209201, I,-2.960204401006165,0.0267107456382652,0.7756981318051885,0.0140537865741604,0.3258307675009539,0.0161682079274238,0.0153892821988682,mjd,60944.951440972225
10,2025-09-26 22:51:04.500000,1.7754096233572891, I,-2.96020470780983,0.0953926325078014,0.7756979284465831,0.0412142070922667,1.359837328224882,0.0627908511034779,0.0683716850404734,mjd,60944.952135416665
11,2025-09-26 22:51:04.500000,1.2634356873678891, I,-2.960208272323099,0.4127813968944971,0.7756977939038906,0.1710709052315211,1.3870865699430406,0.200273813452328,0.1337624589672195,mjd,60944.952135416665
12,2025-09-26 22:52:04.500000,2.9988473337158954, I,-2.960203979397719,0.0415374699359792,0.7756980133248026,0.0198859958249483,0.796643702129145,0.0307037861641211,0.0273368986699336,mjd,60944.95282986111
